danceability,artist_name,song_id,track_name,key,energy,acousticness,duration_ms,loudness,speechiness,tempo,pais
0.608,Luke Combs,48UKTR66uUOT9LaUvooTNx,The Kind of Love We Make,1,0.745,0.0226,224427,-4.13,0.0277,102.025,CAN
0.369,Zach Bryan,3WMj8moIAXJhHsyLaqIIHI,Something in the Orange,4,0.192,0.555,228013,-12.151,0.04,175.212,CAN
0.498,Post Malone,5w40ZYhbBMAlHYNDaVJIUu,Chemical,2,0.897,0.00136,184013,-4.907,0.045,169.902,CAN
0.954,Coi Leray,6UN73IYd0hZxLi8wFPMQij,Players,6,0.516,0.03,139560,-5.817,0.16,105.001,CAN
0.505,Morgan Wallen,3cBsEDNhFI9E82vPj3kvi3,Wasted On You,11,0.657,0.373,178520,-5.24,0.0318,196.0,CAN
0.69,J. Cole,68Dni7IE4VyPkTOH9mRWHr,No Role Modelz,10,0.521,0.324,292799,-8.492,0.339,100.028,CAN
0.571,Metro Boomin,5wG3HvLhF6Y5KTGlK0IW3J,Trance (with Travis Scott & Young Thug),1,0.549,0.18,194787,-7.38,0.404,119.497,CAN
0.938,NLE Choppa,0WoVfPjxsf9MTvPt9ptqeE,SLUT ME OUT,6,0.606,0.117,123673,-6.396,0.419,121.108,CAN
0.515,JVKE,5odlY52u43F5BjByhxg7wg,golden hour,4,0.593,0.653,209260,-4.801,0.0322,94.467,CAN
0.561,Drake,1bDbXMyjaUIooNwFE9wn0N,Rich Flex,11,0.52,0.0503,239360,-9.342,0.244,153.15,CAN
0.656,Morgan Wallen,0PAcdVzhPO4gq1Iym9ESnK,Thinkin’ Bout Me,3,0.757,0.492,177388,-5.775,0.0308,139.971,CAN
0.552,Taylor Swift,1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,9,0.702,0.117,178427,-5.707,0.157,169.994,CAN
0.823,Kali,7sliFe6W30tPBPh6dvZsIH,Area Codes,1,0.388,0.0187,139326,-10.867,0.491,154.569,CAN
0.529,Drake,3F5CgOj3wFlRv51JsHbxhe,Jimmy Cooks (feat. 21 Savage),0,0.673,0.000307,218365,-4.711,0.175,165.921,CAN
